"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","08/03/2011","05:15:22","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","08/03/2011","05:49:14","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","08/03/2011","06:15:52","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","08/03/2011","06:49:44","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","08/03/2011","07:16:22","mail spooler","Could not connect to SMTP host: mail.prodriver-online.com, port: 25;
  nested exception is:
	java.net.ConnectException: connection to mail.prodriver-online.com timed out"
"ERROR","web-0","08/03/2011","07:50:14","mail spooler","Could not connect to SMTP host: mail.prodriver-online.com, port: 25;
  nested exception is:
	java.net.ConnectException: connection to mail.prodriver-online.com timed out"
"ERROR","web-0","08/03/2011","08:16:52","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","08/03/2011","08:50:44","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","08/03/2011","09:17:22","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","08/03/2011","09:51:14","mail spooler","timeout occurred after 30 seconds while sending mail message"
